index	 x	 y	 px	 py
0	 8.000000	 10.000000	 0.000000	 0.000000	
1	 8.133451	 9.931509	 8.000000	 10.000000	
2	 8.266498	 10.000780	 8.133451	 9.931509	
3	 8.380894	 9.903756	 8.250788	 9.851605	
4	 7.905461	 10.116457	 8.000000	 10.000000	
5	 7.765157	 10.063402	 7.905461	 10.116457	
6	 8.380438	 10.098339	 8.353825	 10.051293	
7	 7.676821	 9.942172	 7.747329	 9.931785	
8	 8.511544	 10.171217	 8.380438	 10.098339	
9	 8.644431	 10.240795	 8.511544	 10.171217	
10	 7.526839	 9.939873	 7.592407	 9.990903	
11	 7.411316	 9.844193	 7.526839	 9.939873	
12	 7.285532	 9.925916	 7.431294	 9.961320	
13	 7.166096	 9.835169	 7.245659	 9.781312	
14	 7.088815	 9.706609	 7.245659	 9.781312	
15	 8.765659	 10.152456	 8.644431	 10.240795	
16	 8.666776	 10.389121	 8.644431	 10.240795	
17	 8.448147	 9.769677	 8.250788	 9.851605	
18	 8.892889	 10.073004	 8.765659	 10.152456	
19	 8.670752	 10.539068	 8.666776	 10.389121	
20	 7.192457	 10.043546	 7.285532	 9.925916	
21	 8.722928	 10.679701	 8.670752	 10.539068	
22	 8.665474	 10.818261	 8.722928	 10.679701	
23	 7.020606	 9.573014	 7.088815	 9.706609	
24	 8.787463	 10.905546	 8.665474	 10.818261	
25	 7.081246	 10.144204	 7.192457	 10.043546	
26	 8.464900	 9.620616	 8.448147	 9.769677	
27	 6.933453	 10.169843	 7.048986	 10.074176	
28	 9.019844	 9.993114	 8.892889	 10.073004	
29	 6.940169	 9.446404	 7.020606	 9.573014	
30	 6.961845	 9.297978	 6.940169	 9.446404	
31	 6.868725	 10.305159	 7.014422	 10.269485	
32	 8.926766	 10.961175	 8.787463	 10.905546	
33	 6.815963	 9.263071	 6.825499	 9.360507	
34	 6.856229	 10.454638	 6.868725	 10.305159	
35	 9.061010	 10.894254	 8.951258	 10.813188	
36	 7.003870	 9.153986	 6.961845	 9.297978	
37	 8.888118	 11.106111	 8.934944	 10.975540	
38	 9.210132	 10.910465	 9.061010	 10.894254	
39	 6.742955	 10.552968	 6.856229	 10.454638	
40	 8.556044	 9.501482	 8.464900	 9.620616	
41	 8.628033	 9.369885	 8.556044	 9.501482	
42	 8.842004	 11.248846	 8.888118	 11.106111	
43	 8.753899	 9.288290	 8.678596	 9.270124	
44	 6.659467	 10.677587	 6.742955	 10.552968	
45	 6.562756	 10.792246	 6.659467	 10.677587	
46	 9.357984	 10.885173	 9.210132	 10.910465	
47	 9.449796	 11.003792	 9.437334	 10.943502	
48	 8.803654	 11.393861	 8.842004	 11.248846	
49	 8.702318	 11.504455	 8.803654	 11.393861	
50	 9.538026	 11.125099	 9.449796	 11.003792	
51	 8.750230	 9.138335	 8.678596	 9.270124	
52	 9.671353	 11.193829	 9.538026	 11.125099	
53	 8.868112	 9.045578	 8.797336	 9.144717	
54	 8.934048	 8.910848	 8.924650	 9.044043	
55	 9.053002	 8.819470	 9.005504	 8.821681	
56	 9.022367	 8.672632	 9.005504	 8.821681	
57	 6.727799	 9.141716	 6.872835	 9.177242	
58	 9.087046	 8.537293	 9.022367	 8.672632	
59	 6.642704	 9.018189	 6.727799	 9.141716	
60	 8.726834	 11.652437	 8.702318	 11.504455	
61	 9.805200	 11.261543	 9.671353	 11.193829	
62	 9.207731	 8.448215	 9.087046	 8.537293	
63	 6.604221	 8.873210	 6.642704	 9.018189	
64	 9.247334	 8.303537	 9.207731	 8.448215	
65	 6.454589	 8.862705	 6.549932	 8.992332	
66	 6.371359	 8.737914	 6.454589	 8.862705	
67	 9.953643	 11.283099	 9.940623	 11.240434	
68	 10.009111	 11.422466	 9.953643	 11.283099	
69	 10.134476	 11.504830	 10.009111	 11.422466	
70	 6.283838	 8.616094	 6.371359	 8.737914	
71	 9.248154	 8.153540	 9.247334	 8.303537	
72	 6.180417	 8.507447	 6.283838	 8.616094	
73	 8.684503	 11.796340	 8.726834	 11.652437	
74	 10.153572	 11.653610	 10.134476	 11.504830	
75	 6.081074	 8.395060	 6.180417	 8.507447	
76	 9.285768	 8.008332	 9.248154	 8.153540	
77	 5.954766	 8.314150	 6.081074	 8.395060	
78	 10.298342	 11.692876	 10.153572	 11.653610	
79	 6.400280	 9.002528	 6.549932	 8.992332	
80	 9.349244	 7.872425	 9.285768	 8.008332	
81	 8.810566	 11.877629	 8.684503	 11.796340	
82	 8.594373	 11.916243	 8.684503	 11.796340	
83	 10.298376	 11.842875	 10.298342	 11.692876	
84	 10.433414	 11.627640	 10.283445	 11.487279	
85	 10.421361	 11.928751	 10.298376	 11.842875	
86	 10.564837	 11.972507	 10.421361	 11.928751	
87	 10.714817	 11.974987	 10.564837	 11.972507	
88	 10.835341	 12.064283	 10.714817	 11.974987	
89	 5.951930	 8.164177	 5.992638	 8.160526	
90	 5.816771	 8.372950	 5.954766	 8.314150	
91	 8.614400	 12.064899	 8.594373	 11.916243	
92	 5.688875	 8.451324	 5.863556	 8.548803	
93	 8.316943	 9.645288	 8.250788	 9.851605	
94	 6.535129	 10.939680	 6.550821	 10.911958	
95	 9.319299	 7.725444	 9.349244	 7.872425	
96	 6.352471	 9.144705	 6.536304	 9.123920	
97	 9.281722	 7.580227	 9.319299	 7.725444	
98	 9.319852	 7.435155	 9.337206	 7.584148	
99	 6.672775	 10.999291	 6.686269	 10.877360	
100	 10.550941	 11.534434	 10.443602	 11.436091	
101	 5.959012	 8.014344	 5.992638	 8.160526	
102	 10.585871	 11.388557	 10.443602	 11.436091	
103	 10.983287	 12.039542	 10.835341	 12.064283	
104	 9.324447	 7.285225	 9.319852	 7.435155	
105	 5.565733	 8.365674	 5.645034	 8.416813	
106	 9.164386	 9.953019	 9.019844	 9.993114	
107	 5.956734	 7.864361	 5.959012	 8.014344	
108	 5.435798	 8.290729	 5.565733	 8.365674	
109	 11.118932	 12.103578	 10.983287	 12.039542	
110	 11.262863	 12.061341	 11.118932	 12.103578	
111	 5.322724	 8.389290	 5.435798	 8.290729	
112	 6.689598	 11.148345	 6.672775	 10.999291	
113	 11.396614	 12.129244	 11.262863	 12.061341	
114	 11.494377	 12.015479	 11.351089	 11.986320	
115	 6.635238	 11.288149	 6.689598	 11.148345	
116	 11.630596	 12.078283	 11.487314	 12.122670	
117	 8.885705	 9.359894	 8.878012	 9.378935	
118	 5.856760	 7.752535	 5.956734	 7.864361	
119	 11.732903	 11.968586	 11.630596	 12.078283	
120	 8.585642	 12.212117	 8.614400	 12.064899	
121	 9.297246	 7.137712	 9.324447	 7.285225	
122	 11.882617	 11.959333	 11.732903	 11.968586	
123	 5.775415	 7.626507	 5.856760	 7.752535	
124	 9.285710	 6.988157	 9.297246	 7.137712	
125	 5.643147	 7.555759	 5.775415	 7.626507	
126	 6.603397	 11.434731	 6.635238	 11.288149	
127	 12.020570	 11.900435	 11.882617	 11.959333	
128	 12.155906	 11.965121	 12.020570	 11.900435	
129	 9.245420	 6.843669	 9.222118	 6.957135	
130	 6.944359	 10.576017	 7.040371	 10.417224	
131	 9.324060	 6.715936	 9.245420	 6.843669	
132	 5.580280	 7.419569	 5.643147	 7.555759	
133	 5.195597	 8.468905	 5.322724	 8.389290	
134	 5.627631	 7.277239	 5.580280	 7.419569	
135	 5.635065	 7.127423	 5.627631	 7.277239	
136	 8.539649	 12.354892	 8.575665	 12.291696	
137	 11.689374	 12.216288	 11.487314	 12.122670	
138	 9.301828	 6.567592	 9.324060	 6.715936	
139	 12.290146	 11.898190	 12.155906	 11.965121	
140	 9.298979	 6.417619	 9.301828	 6.567592	
141	 5.549360	 7.004319	 5.635065	 7.127423	
142	 12.355005	 11.762938	 12.198201	 11.779674	
143	 12.451059	 11.647726	 12.355005	 11.762938	
144	 9.254478	 6.274373	 9.298979	 6.417619	
145	 12.579024	 11.725988	 12.451059	 11.647726	
146	 5.540413	 6.854586	 5.549360	 7.004319	
147	 12.729024	 11.725485	 12.606694	 11.637328	
148	 5.050826	 8.429647	 5.195597	 8.468905	
149	 4.920314	 8.355710	 5.050826	 8.429647	
150	 4.796207	 8.271463	 4.920314	 8.355710	
151	 5.448757	 6.735846	 5.540413	 6.854586	
152	 8.428415	 12.455524	 8.539649	 12.354892	
153	 4.661545	 8.337539	 4.796207	 8.271463	
154	 6.548929	 11.574492	 6.603397	 11.434731	
155	 9.223277	 6.127654	 9.254478	 6.274373	
156	 10.625196	 11.243804	 10.388296	 11.206984	
157	 5.353763	 6.619759	 5.448757	 6.735846	
158	 9.186426	 5.982251	 9.223277	 6.127654	
159	 6.539327	 11.724184	 6.588883	 11.582606	
160	 6.501605	 11.869364	 6.539327	 11.724184	
161	 9.251157	 5.846936	 9.266506	 5.996149	
162	 11.636524	 12.356669	 11.489116	 12.328909	
163	 5.361027	 6.469934	 5.353763	 6.619759	
164	 4.575698	 8.460545	 4.661545	 8.337539	
165	 4.467273	 8.564198	 4.517809	 8.493333	
166	 5.204002	 6.611294	 5.298757	 6.735552	
167	 5.633924	 6.977427	 5.635065	 7.127423	
168	 5.061026	 6.565932	 5.204002	 6.611294	
169	 9.262830	 5.697391	 9.251157	 5.846936	
170	 9.280587	 5.548446	 9.262830	 5.697391	
171	 5.758801	 6.894327	 5.633924	 6.977427	
172	 8.503183	 12.585562	 8.428415	 12.455524	
173	 11.727150	 12.476197	 11.496596	 12.410708	
174	 9.337788	 5.409781	 9.280587	 5.548446	
175	 8.603252	 12.697303	 8.503183	 12.585562	
176	 10.694144	 11.110589	 10.668796	 11.263564	
177	 9.206273	 6.451967	 9.301828	 6.567592	
178	 5.006928	 6.426027	 5.061026	 6.565932	
179	 4.348640	 8.655993	 4.467273	 8.564198	
180	 4.261559	 8.778127	 4.348640	 8.655993	
181	 12.454115	 11.497757	 12.498674	 11.599324	
182	 4.914132	 6.308176	 5.006928	 6.426027	
183	 4.951837	 6.162992	 4.914132	 6.308176	
184	 11.724187	 12.626168	 11.655239	 12.652202	
185	 4.810637	 6.112369	 4.818076	 6.224310	
186	 11.741076	 12.775214	 11.655239	 12.652202	
187	 4.122760	 8.721251	 4.261559	 8.778127	
188	 6.752812	 11.447960	 6.739740	 11.395756	
189	 12.834160	 11.618497	 12.729024	 11.725485	
190	 11.819149	 12.903295	 11.741076	 12.775214	
191	 8.670535	 12.831367	 8.603252	 12.697303	
192	 8.786594	 8.919662	 8.647166	 9.012470	
193	 12.932445	 11.505182	 12.834160	 11.618497	
194	 11.815109	 13.053240	 11.819149	 12.903295	
195	 13.010128	 11.376865	 12.932445	 11.505182	
